user_id,cash_inflow,avg_bank_balance,location_type,income_type,age,age_to_employment_ratio,housing_type,rent_amount,num_occupants,bill_payment_consistency,bnpl_used,education_level,grade_or_cgpa,loan_approved
U0028,27879,10627,Urban,Gig,32,0.41,Owned,0,4,Always,False,10th,72.4,1
U0029,43664,6952,Semi-Urban,Salaried,37,0.46,Owned,0,3,Always,False,12th,72.6,1
U0030,66645,7545,Urban,Salaried,52,0.02,Owned,0,2,Usually,False,Diploma,60.8,1
U0031,74401,23240,Semi-Urban,Salaried,46,0.13,Rented,8535,4,Rarely,True,10th,53.6,1
U0032,21447,4183,Rural,Gig,44,0.09,Owned,0,5,Always,False,12th,94.3,0
U0033,43509,13675,Urban,Salaried,36,0.03,Rented,14464,4,Always,True,10th,72.9,1
U0034,23895,2779,Rural,Informal,40,0.07,PG/Hostel,3369,1,Sometimes,True,12th,73.0,0
U0035,61106,14632,Urban,Salaried,27,0.15,Rented,11680,1,Always,False,10th,67.9,1
U0036,43078,20448,Rural,Salaried,21,0.05,Rented,4802,4,Always,False,12th,83.1,1
U0037,67025,31493,Rural,Salaried,50,0.2,Rented,3262,4,Usually,False,10th,57.9,1
U0038,35199,11336,Semi-Urban,Gig,22,0.0,Rented,8423,4,Always,True,Postgraduate,7.95,1
U0039,49855,17610,Urban,Salaried,29,0.31,Rented,6170,3,Always,True,Graduate,8.54,1
U0040,21154,9361,Urban,Salaried,53,0.45,Rented,4648,4,Usually,False,Postgraduate,9.14,1
U0041,77597,8045,Semi-Urban,Salaried,45,0.07,Owned,0,2,Always,False,Graduate,6.02,1
U0042,19207,4266,Rural,Informal,22,0.23,Owned,0,4,Usually,True,10th,79.3,0
U0043,66760,11373,Urban,Salaried,24,0.04,PG/Hostel,6493,1,Sometimes,True,Diploma,64.6,1
U0044,23987,5914,Rural,Salaried,28,0.25,Rented,4218,1,Usually,True,Graduate,7.08,1
U0045,37311,5129,Rural,Gig,42,0.52,Owned,0,3,Sometimes,False,12th,61.0,0
U0046,34373,16896,Semi-Urban,Salaried,28,0.11,Owned,0,4,Usually,False,12th,85.8,1
U0047,31277,11198,Urban,Gig,53,0.08,Rented,14259,5,Sometimes,True,10th,72.5,1
U0048,76835,8430,Urban,Salaried,37,0.32,Owned,0,5,Usually,False,12th,71.1,1
U0049,37453,17451,Semi-Urban,Salaried,44,0.39,Rented,3301,5,Always,True,Graduate,8.0,1
U0050,5699,2514,Semi-Urban,Informal,41,0.54,Owned,0,2,Always,False,Diploma,64.3,0
U0051,6816,1757,Rural,Informal,23,0.3,Owned,0,3,Always,True,Graduate,6.34,1
U0052,27455,10115,Semi-Urban,Salaried,43,0.05,Rented,10806,3,Rarely,True,Postgraduate,7.03,1
U0053,65017,25766,Urban,Salaried,53,0.17,Rented,10343,5,Always,False,10th,63.3,1
U0054,26921,11415,Urban,Gig,45,0.51,PG/Hostel,2524,1,Sometimes,True,12th,53.7,1
U0055,29334,8817,Urban,Gig,40,0.0,Rented,9655,4,Sometimes,True,12th,89.9,1
U0056,18403,6101,Urban,Informal,52,0.42,Rented,13174,3,Sometimes,True,10th,71.0,0
U0057,69726,34356,Urban,Salaried,42,0.52,Rented,12907,2,Rarely,False,Diploma,87.0,0
U0058,39749,12514,Semi-Urban,Gig,53,0.13,Rented,6124,4,Always,True,12th,59.7,1
U0059,21388,6050,Urban,Informal,26,0.12,PG/Hostel,6142,1,Always,True,Graduate,8.45,1
U0060,27079,10572,Semi-Urban,Salaried,33,0.06,Rented,3635,2,Rarely,True,Diploma,64.5,1
U0061,31136,8080,Urban,Gig,39,0.1,Rented,11308,1,Always,True,Diploma,81.0,1
U0062,70816,11990,Semi-Urban,Salaried,21,0.05,Owned,0,4,Always,True,Graduate,6.88,1
U0063,27805,3824,Urban,Salaried,45,0.18,Rented,10404,5,Always,False,Graduate,8.23,1
U0064,33500,13237,Semi-Urban,Salaried,25,0.2,Owned,0,4,Usually,True,Graduate,6.17,1
U0065,73401,17791,Semi-Urban,Salaried,42,0.33,Owned,0,5,Always,False,Graduate,6.16,1
U0066,23296,5231,Urban,Gig,25,0.12,Rented,14151,2,Usually,False,Graduate,8.67,1
U0067,9452,2451,Semi-Urban,Informal,30,0.17,Rented,5849,4,Always,False,10th,66.9,0
U0068,16922,5097,Urban,Informal,21,0.19,Owned,0,2,Sometimes,True,10th,57.3,0
U0069,71991,34379,Urban,Salaried,22,0.05,Rented,12087,3,Always,False,Postgraduate,8.8,1
U0070,36507,9319,Semi-Urban,Gig,53,0.6,Owned,0,2,Always,True,Graduate,7.91,1
U0071,74884,26237,Semi-Urban,Salaried,21,0.05,Rented,8536,2,Always,False,12th,59.3,1
U0072,15636,2905,Semi-Urban,Informal,22,0.18,Rented,13738,2,Usually,True,Graduate,8.39,1
U0073,21281,7930,Semi-Urban,Informal,54,0.11,PG/Hostel,5267,1,Usually,False,Graduate,8.43,1
U0074,15745,5535,Semi-Urban,Gig,49,0.47,Rented,10587,1,Usually,True,Graduate,8.81,1
U0075,47384,15124,Urban,Salaried,29,0.28,Owned,0,5,Usually,False,Graduate,8.02,1
U0076,37506,9940,Urban,Salaried,38,0.45,Owned,0,4,Always,False,Postgraduate,8.03,1
U0077,43190,20398,Urban,Salaried,32,0.03,Owned,0,4,Always,True,10th,83.8,1
U0078,67320,13147,Semi-Urban,Salaried,50,0.34,Rented,11787,1,Always,False,Diploma,64.4,1
U0079,10698,1497,Rural,Gig,32,0.38,Owned,0,2,Sometimes,False,Graduate,8.97,0
U0080,9360,2131,Urban,Informal,34,0.53,Owned,0,3,Sometimes,False,Graduate,8.21,0
U0081,31364,4286,Semi-Urban,Gig,32,0.25,Rented,14130,5,Always,False,Diploma,83.9,0
U0082,21167,8802,Urban,Salaried,34,0.29,Rented,12348,3,Always,True,Graduate,9.11,1
U0083,9330,3567,Rural,Informal,32,0.25,Rented,10241,2,Sometimes,True,10th,77.8,0
U0084,31516,13721,Rural,Salaried,33,0.24,Owned,0,3,Always,False,12th,67.8,1
U0085,43322,16570,Semi-Urban,Salaried,25,0.2,Owned,0,2,Usually,False,12th,60.5,1
U0086,48295,12059,Urban,Salaried,21,0.05,Rented,4365,4,Rarely,False,12th,60.7,0
U0087,60262,29793,Rural,Salaried,24,0.17,Owned,0,3,Always,True,12th,81.9,1
U0088,54578,22423,Urban,Salaried,47,0.21,Owned,0,3,Usually,True,Graduate,7.16,1
U0089,35485,10540,Urban,Salaried,33,0.06,Rented,12435,2,Rarely,True,Graduate,8.59,1
U0090,77799,11437,Urban,Salaried,21,0.05,Rented,9530,5,Sometimes,False,Diploma,60.7,0
U0091,10504,2625,Urban,Gig,45,0.51,Rented,3928,5,Usually,True,Graduate,9.37,1
U0092,56395,27698,Semi-Urban,Salaried,41,0.39,Rented,14125,5,Usually,True,Diploma,94.7,1
U0093,41732,8396,Urban,Salaried,39,0.46,Rented,9190,1,Always,False,Graduate,6.76,1
U0094,72638,36197,Rural,Salaried,23,0.13,Rented,11120,3,Sometimes,True,Diploma,62.6,1
U0095,20975,2582,Rural,Gig,32,0.22,Owned,0,5,Sometimes,False,Graduate,7.17,0
U0096,14337,2512,Semi-Urban,Informal,46,0.15,Owned,0,3,Always,True,12th,60.3,0
U0097,53307,6988,Semi-Urban,Salaried,47,0.47,Rented,10102,1,Usually,False,10th,62.6,1
U0098,7779,1621,Urban,Informal,33,0.39,Owned,0,4,Usually,False,12th,87.0,0
U0099,15713,4189,Rural,Gig,25,0.24,Rented,13136,2,Usually,True,10th,53.7,0
U0100,35373,15791,Urban,Gig,25,0.24,Rented,4015,1,Usually,False,Diploma,85.0,1
U0101,54961,27200,Urban,Salaried,31,0.16,Rented,10449,1,Always,False,Graduate,9.39,1
U0102,16938,5549,Urban,Gig,53,0.62,Rented,13344,3,Always,False,12th,56.0,0
U0103,20404,2500,Urban,Salaried,26,0.15,Owned,0,2,Always,True,12th,74.0,0
U0104,19860,9903,Urban,Gig,43,0.09,Rented,6636,5,Usually,False,Postgraduate,8.65,1
U0105,18456,3625,Urban,Informal,29,0.45,Owned,0,2,Always,True,12th,92.9,0
U0106,22100,4041,Semi-Urban,Informal,21,0.0,Rented,13015,2,Always,False,12th,66.1,0
U0107,27239,2965,Urban,Salaried,54,0.06,Rented,7363,1,Always,True,12th,74.8,1
U0108,13580,1838,Urban,Informal,37,0.41,Owned,0,4,Always,True,12th,51.3,0
U0109,16470,6816,Rural,Informal,34,0.03,Owned,0,4,Always,False,Graduate,6.75,1
U0110,25781,8943,Urban,Gig,54,0.61,Rented,11017,3,Always,False,12th,54.1,1
U0111,20209,4836,Urban,Gig,53,0.43,Rented,12550,4,Always,True,Postgraduate,7.04,1
U0112,72329,32182,Urban,Salaried,25,0.2,Rented,10043,2,Always,True,Graduate,9.24,1
U0113,41833,17049,Urban,Salaried,40,0.12,Rented,13785,5,Always,True,12th,65.6,1
U0114,16269,5748,Semi-Urban,Gig,31,0.06,Rented,9254,1,Usually,False,Graduate,7.61,1
U0115,25183,4048,Semi-Urban,Gig,36,0.19,PG/Hostel,2899,1,Always,True,Graduate,6.64,1
U0116,14911,3946,Rural,Informal,52,0.04,Owned,0,4,Always,False,Graduate,8.34,0
U0117,15161,5166,Rural,Informal,39,0.51,Rented,8124,2,Always,False,Graduate,6.98,1
U0118,8900,1003,Semi-Urban,Informal,26,0.0,Rented,9376,4,Always,True,Postgraduate,6.72,1
U0119,28977,4389,Semi-Urban,Gig,46,0.26,Owned,0,4,Always,True,Postgraduate,6.14,1
U0120,20488,5991,Urban,Gig,42,0.33,Owned,0,5,Usually,False,Graduate,9.06,1
U0121,39262,9851,Urban,Salaried,37,0.11,PG/Hostel,7376,1,Always,False,Postgraduate,6.3,1
U0122,34178,5940,Urban,Salaried,35,0.43,Owned,0,4,Always,True,Diploma,91.6,1
U0123,18717,6500,Urban,Gig,43,0.3,PG/Hostel,5287,1,Sometimes,True,Graduate,8.52,1
U0124,59577,6831,Urban,Salaried,27,0.11,PG/Hostel,3646,1,Always,True,Graduate,8.96,1
U0125,32890,10289,Urban,Gig,38,0.13,Owned,0,4,Always,False,Graduate,7.39,1
U0126,23503,4881,Urban,Gig,48,0.19,Rented,4062,1,Sometimes,False,Postgraduate,8.94,0
U0127,26229,6058,Urban,Salaried,45,0.38,Rented,6596,4,Usually,True,Diploma,71.3,1
U0128,27561,11456,Urban,Salaried,38,0.39,Owned,0,5,Sometimes,True,Graduate,7.88,1
U0129,34369,11104,Rural,Salaried,39,0.26,Rented,5472,5,Usually,False,Diploma,66.3,1
U0130,74553,25573,Urban,Salaried,26,0.19,Rented,14640,1,Always,True,Postgraduate,6.03,1
U0131,36900,5946,Rural,Gig,24,0.21,Rented,9986,1,Always,False,Diploma,53.6,1
U0132,34818,3735,Urban,Gig,44,0.11,Owned,0,3,Usually,False,Postgraduate,8.02,1
U0133,48746,21750,Urban,Salaried,26,0.23,Owned,0,2,Usually,False,Graduate,7.72,1
U0134,67077,24647,Urban,Salaried,22,0.05,Rented,13954,2,Usually,True,Postgraduate,6.98,1
U0135,52043,9473,Urban,Salaried,46,0.48,Rented,13002,4,Sometimes,False,Diploma,72.8,0
U0136,14208,4431,Rural,Gig,21,0.05,PG/Hostel,6749,1,Always,True,12th,63.0,0
U0137,6828,2065,Urban,Informal,33,0.3,Owned,0,4,Sometimes,True,Graduate,6.18,0
U0138,65745,18520,Semi-Urban,Salaried,25,0.08,Rented,5219,2,Usually,True,10th,64.5,1
U0139,38289,5174,Urban,Gig,29,0.0,Rented,5824,3,Always,True,Postgraduate,7.66,1
U0140,8490,2033,Rural,Informal,25,0.04,Owned,0,3,Always,False,Postgraduate,9.27,0
U0141,56298,26760,Urban,Salaried,32,0.09,Rented,12762,1,Sometimes,True,Graduate,8.59,1
U0142,63925,7622,Urban,Salaried,49,0.16,Rented,12064,5,Sometimes,False,12th,59.1,0
U0143,43325,18632,Urban,Salaried,25,0.12,Owned,0,4,Always,False,Diploma,78.5,1
U0144,79965,19474,Semi-Urban,Salaried,45,0.4,Rented,13535,3,Usually,True,12th,78.1,1
U0145,15984,6378,Urban,Gig,35,0.0,Rented,5712,1,Always,True,12th,90.5,1
U0146,22790,7127,Urban,Gig,26,0.19,Rented,13818,3,Sometimes,False,Postgraduate,7.17,0
U0147,31951,5325,Urban,Gig,49,0.0,Rented,13227,3,Always,False,Graduate,8.76,1
U0148,30789,12345,Urban,Salaried,47,0.49,Rented,5336,4,Always,False,Postgraduate,7.99,1
U0149,52265,15553,Urban,Salaried,30,0.03,Owned,0,3,Always,False,10th,87.0,1
U0150,11371,3215,Urban,Informal,35,0.2,Owned,0,2,Sometimes,True,Postgraduate,7.7,0
U0151,28755,11182,Rural,Gig,22,0.09,PG/Hostel,2094,1,Usually,True,Graduate,8.09,1
U0152,30147,9559,Semi-Urban,Salaried,47,0.11,Rented,8779,3,Usually,True,Graduate,9.36,1
U0153,16111,5370,Semi-Urban,Informal,28,0.21,Owned,0,4,Always,False,Graduate,7.01,1
U0154,44938,7250,Urban,Salaried,33,0.24,Rented,14197,2,Always,True,Graduate,8.14,1
U0155,5827,1964,Urban,Informal,24,0.17,Rented,14127,5,Always,True,12th,81.8,0
U0156,24561,10033,Urban,Informal,51,0.16,Rented,8109,3,Usually,False,Graduate,8.58,1
U0157,64327,28057,Urban,Salaried,31,0.23,Rented,4792,5,Always,False,Postgraduate,9.45,1
U0158,6645,1159,Urban,Informal,43,0.56,Rented,6072,3,Always,True,Graduate,8.07,1
U0159,12708,3198,Semi-Urban,Gig,29,0.31,Rented,6507,1,Sometimes,False,12th,50.2,0
U0160,33224,4840,Urban,Salaried,45,0.24,Rented,10973,2,Usually,True,Graduate,7.63,1
U0161,18666,7373,Urban,Gig,37,0.27,Rented,12146,4,Usually,True,12th,91.1,1
U0162,22589,3852,Urban,Informal,27,0.11,Rented,6572,1,Always,True,Diploma,66.3,0
U0163,48734,10284,Rural,Salaried,46,0.39,Rented,8588,1,Usually,True,Postgraduate,6.62,1
U0164,23395,6634,Rural,Gig,40,0.53,Rented,11533,4,Sometimes,False,10th,74.1,0
U0165,75856,16676,Urban,Salaried,52,0.25,PG/Hostel,2989,1,Sometimes,True,Postgraduate,8.62,1
U0166,44442,18661,Rural,Salaried,52,0.58,Rented,13524,1,Always,False,12th,51.6,1
U0167,44861,19497,Rural,Salaried,39,0.46,Rented,3768,3,Usually,True,10th,70.4,1
U0168,48865,15332,Rural,Salaried,50,0.12,Rented,12138,4,Always,True,Graduate,6.64,1
U0169,17342,8297,Urban,Informal,52,0.17,Rented,4481,3,Usually,True,12th,79.0,1
U0170,24835,10438,Rural,Informal,48,0.65,Rented,6462,5,Usually,True,Graduate,7.43,1
U0171,65368,12340,Urban,Salaried,44,0.52,Rented,13682,5,Always,False,10th,76.8,1
U0172,51480,21619,Urban,Salaried,23,0.13,Rented,10776,4,Always,True,Graduate,6.83,1
U0173,17970,3544,Semi-Urban,Gig,34,0.38,Owned,0,4,Usually,True,Graduate,9.37,1
U0174,13356,2089,Semi-Urban,Informal,34,0.44,Owned,0,3,Usually,True,10th,50.6,0
U0175,78118,30806,Urban,Salaried,41,0.46,Rented,6695,5,Always,False,10th,89.4,1
U0176,70460,18923,Semi-Urban,Salaried,22,0.05,Owned,0,4,Always,False,Diploma,78.1,1
U0177,29978,6108,Urban,Gig,22,0.09,Rented,7566,4,Always,True,Postgraduate,8.91,1
U0178,10804,2849,Semi-Urban,Gig,50,0.16,Rented,10083,3,Always,False,Postgraduate,9.32,0
U0179,63861,26304,Rural,Salaried,37,0.27,Owned,0,3,Usually,False,Diploma,71.9,1
U0180,34557,9967,Urban,Gig,52,0.31,Owned,0,3,Sometimes,True,10th,51.0,1
U0181,22573,8954,Urban,Salaried,22,0.05,Rented,4304,1,Always,True,Graduate,6.49,1
U0182,28925,14282,Semi-Urban,Gig,49,0.24,Owned,0,3,Always,False,Postgraduate,6.95,1
U0183,21458,9206,Urban,Informal,41,0.22,PG/Hostel,7475,1,Always,False,Graduate,7.74,1
U0184,46657,15008,Semi-Urban,Salaried,45,0.13,Owned,0,3,Usually,True,Graduate,8.52,1
U0185,68756,7178,Semi-Urban,Salaried,41,0.15,Owned,0,4,Always,True,Graduate,8.09,1
U0186,19060,6976,Rural,Informal,27,0.33,Rented,12900,1,Usually,True,Graduate,7.47,1
U0187,34027,13895,Semi-Urban,Gig,22,0.14,Owned,0,3,Always,False,Postgraduate,8.58,1
U0188,39250,5343,Urban,Salaried,46,0.46,Owned,0,4,Usually,True,12th,63.0,1
U0189,34063,15880,Urban,Gig,54,0.43,Rented,7853,5,Always,False,Graduate,7.69,1
U0190,79129,8899,Urban,Salaried,40,0.47,Owned,0,4,Sometimes,True,Postgraduate,8.95,1
U0191,32112,9586,Semi-Urban,Salaried,54,0.17,Owned,0,3,Always,False,Graduate,7.66,1
U0192,54888,7138,Urban,Salaried,37,0.03,Owned,0,2,Usually,True,Diploma,81.7,1
U0193,38023,10415,Semi-Urban,Salaried,23,0.09,Rented,4252,4,Usually,False,10th,81.3,1
U0194,39933,4077,Semi-Urban,Salaried,32,0.09,Owned,0,2,Always,True,Graduate,6.32,1
U0195,14090,6831,Urban,Gig,37,0.24,Owned,0,2,Always,False,12th,70.1,0
U0196,77134,10388,Semi-Urban,Salaried,36,0.22,Rented,3338,5,Sometimes,False,10th,84.2,0
U0197,7421,2633,Urban,Informal,28,0.29,Owned,0,3,Sometimes,False,Graduate,7.71,0
U0198,21918,8269,Semi-Urban,Gig,46,0.3,Rented,14551,2,Always,True,Postgraduate,8.06,1
U0199,61360,10568,Rural,Salaried,41,0.17,Rented,7430,5,Usually,False,10th,82.9,1
U0200,16122,7573,Urban,Informal,43,0.4,Rented,6294,4,Usually,False,Postgraduate,8.96,1
U0201,14497,4479,Urban,Gig,37,0.35,Rented,12374,3,Always,True,Graduate,7.96,1
U0202,77132,10087,Semi-Urban,Salaried,46,0.5,Owned,0,4,Rarely,True,12th,52.9,1
U0203,76846,32397,Urban,Salaried,24,0.04,Rented,3920,5,Usually,True,12th,78.2,1
U0204,38687,10473,Urban,Gig,22,0.09,Rented,6241,2,Usually,False,Graduate,6.07,1
U0205,14996,4672,Semi-Urban,Informal,52,0.6,PG/Hostel,5810,1,Always,False,12th,53.2,0
U0206,61773,14843,Urban,Salaried,49,0.43,Owned,0,5,Always,True,Diploma,78.2,1
U0207,39895,8325,Urban,Salaried,30,0.3,Owned,0,4,Always,False,10th,69.0,1
U0208,17676,6945,Rural,Informal,23,0.17,Rented,4165,2,Usually,False,Graduate,7.04,1
U0209,19269,6467,Semi-Urban,Informal,21,0.19,Owned,0,3,Sometimes,True,Diploma,52.0,0
U0210,24494,6214,Urban,Salaried,44,0.09,Owned,0,5,Always,False,Postgraduate,9.35,1
U0211,21828,9048,Semi-Urban,Salaried,26,0.23,Owned,0,5,Usually,False,Graduate,7.64,1
U0212,11868,5882,Urban,Gig,27,0.11,PG/Hostel,6867,1,Always,False,Graduate,6.81,1
U0213,76979,33495,Semi-Urban,Salaried,30,0.07,Owned,0,2,Always,False,12th,59.9,1
U0214,37376,18049,Semi-Urban,Gig,26,0.15,PG/Hostel,3796,1,Sometimes,False,10th,78.3,0
U0215,10726,4864,Rural,Gig,40,0.4,Owned,0,2,Usually,False,12th,61.7,0
U0216,28850,11635,Urban,Gig,37,0.05,Rented,10906,5,Usually,False,Graduate,6.78,1
U0217,20222,2304,Rural,Gig,24,0.21,Rented,4380,2,Usually,True,Graduate,7.6,1
U0218,66007,13613,Urban,Salaried,48,0.19,Owned,0,4,Always,True,Diploma,93.0,1
U0219,35931,4102,Urban,Gig,35,0.2,PG/Hostel,3560,1,Always,False,Graduate,7.93,1
U0220,70106,14901,Semi-Urban,Salaried,35,0.17,Rented,8370,5,Sometimes,True,Graduate,6.17,1
U0221,14105,1867,Semi-Urban,Informal,33,0.12,Rented,8068,1,Always,True,Graduate,6.22,1
U0222,19516,5703,Rural,Gig,49,0.37,Owned,0,3,Always,False,Diploma,75.7,0
U0223,21303,7907,Rural,Gig,47,0.26,Rented,4312,3,Usually,False,12th,89.1,0
U0224,22139,9746,Rural,Salaried,33,0.33,Rented,5604,1,Sometimes,True,Diploma,91.9,0
U0225,8738,3504,Rural,Informal,27,0.15,Rented,3556,2,Always,False,Graduate,7.63,0
U0226,74302,31974,Urban,Salaried,30,0.17,Owned,0,3,Usually,False,10th,90.9,1
U0227,46705,19951,Urban,Salaried,34,0.38,PG/Hostel,4012,1,Usually,True,12th,61.6,1
U0228,20177,4334,Urban,Gig,47,0.34,PG/Hostel,7352,1,Always,False,10th,78.4,0
U0229,12009,4246,Rural,Informal,44,0.27,Rented,4007,3,Sometimes,False,10th,84.2,0
U0230,39257,10713,Urban,Gig,54,0.5,PG/Hostel,2571,1,Always,True,Diploma,58.1,1
U0231,46660,6579,Semi-Urban,Salaried,24,0.17,Owned,0,5,Always,True,12th,84.7,1
U0232,12491,2752,Semi-Urban,Informal,37,0.3,Owned,0,3,Usually,False,Graduate,8.48,0
U0233,14077,3355,Urban,Informal,46,0.5,Owned,0,4,Always,False,12th,88.4,0
U0234,43821,21445,Urban,Salaried,49,0.24,Owned,0,5,Always,False,10th,79.1,1
U0235,7428,1882,Urban,Informal,49,0.2,Rented,14296,3,Usually,True,Graduate,6.88,1
U0236,50678,14106,Urban,Salaried,54,0.54,Owned,0,5,Usually,True,Graduate,7.49,1
U0237,26540,11722,Rural,Salaried,35,0.2,Owned,0,2,Usually,True,Diploma,81.2,1
U0238,43411,18926,Semi-Urban,Salaried,34,0.12,PG/Hostel,5093,1,Always,True,Diploma,55.9,1
U0239,72930,35031,Urban,Salaried,48,0.44,Rented,9446,5,Always,False,12th,78.7,1
U0240,68901,27838,Urban,Salaried,25,0.12,Rented,8626,1,Sometimes,False,Postgraduate,7.12,1
U0241,70085,13455,Urban,Salaried,45,0.53,Owned,0,5,Usually,False,10th,75.3,1
U0242,43019,12444,Semi-Urban,Salaried,28,0.14,Rented,9573,1,Always,False,Graduate,9.04,1
U0243,8380,1353,Semi-Urban,Informal,47,0.28,Owned,0,3,Usually,True,12th,84.2,0
U0244,22343,4863,Urban,Informal,44,0.61,Rented,7473,3,Always,False,Diploma,58.3,0
U0245,20526,6006,Urban,Salaried,34,0.21,PG/Hostel,5344,1,Always,True,Graduate,8.13,1
U0246,71027,19328,Rural,Salaried,42,0.52,Rented,9644,5,Sometimes,False,10th,76.6,0
U0247,26967,6044,Rural,Gig,33,0.0,Rented,7167,5,Always,True,Diploma,53.3,1
U0248,50015,12914,Urban,Salaried,51,0.12,Rented,12759,3,Always,False,Diploma,81.3,1
U0249,71195,29328,Rural,Salaried,28,0.11,Owned,0,3,Rarely,False,Graduate,8.62,1
U0250,19768,3890,Urban,Gig,52,0.27,Rented,11783,4,Always,True,Postgraduate,8.46,1
U0251,28905,11860,Semi-Urban,Salaried,53,0.04,Rented,9368,1,Always,True,12th,89.7,1
U0252,28333,3209,Urban,Gig,46,0.46,PG/Hostel,5174,1,Always,True,Graduate,6.46,1
U0253,5089,1912,Urban,Informal,35,0.03,Rented,3105,4,Usually,False,Diploma,54.7,0
U0254,16090,2408,Urban,Gig,26,0.31,Owned,0,3,Usually,False,Graduate,8.16,0
U0255,5552,2129,Urban,Informal,28,0.25,Rented,12905,4,Usually,True,Postgraduate,8.81,1
U0256,33629,11598,Rural,Salaried,27,0.11,Rented,3207,4,Always,True,Graduate,8.09,1
U0257,21405,6013,Urban,Informal,23,0.26,Owned,0,2,Usually,False,Graduate,6.57,1
U0258,14109,1871,Semi-Urban,Gig,32,0.19,Owned,0,5,Always,True,Graduate,6.56,1
U0259,18612,6445,Semi-Urban,Informal,39,0.56,Rented,11941,4,Usually,True,Postgraduate,8.6,1
U0260,38380,15961,Urban,Gig,52,0.33,Rented,13181,2,Always,False,Graduate,8.29,1
U0261,9644,4807,Urban,Informal,23,0.13,Rented,11946,3,Always,False,Postgraduate,6.77,0
U0262,26309,2953,Semi-Urban,Gig,53,0.11,Rented,10005,5,Sometimes,True,12th,82.7,0
U0263,20956,9189,Urban,Salaried,24,0.17,Rented,12579,4,Usually,True,Postgraduate,7.77,1
U0264,25921,11581,Semi-Urban,Gig,52,0.63,Owned,0,5,Rarely,False,Graduate,8.12,1
U0265,16171,4344,Rural,Informal,32,0.06,Rented,3529,5,Always,True,Diploma,83.0,0
U0266,37490,15385,Urban,Gig,50,0.44,PG/Hostel,5369,1,Sometimes,True,12th,60.7,1
U0267,32861,10024,Semi-Urban,Gig,25,0.2,Owned,0,2,Always,True,Graduate,7.53,1
U0268,70677,31684,Rural,Salaried,34,0.24,Owned,0,4,Usually,False,Graduate,7.26,1
U0269,18321,2530,Rural,Gig,37,0.03,Owned,0,4,Always,False,Graduate,8.3,0
U0270,20238,6787,Urban,Gig,32,0.22,Rented,10062,3,Always,False,Graduate,9.09,1
